Scenario,Age0,Arm,Index,M,L,U
Vac_60,60,SOC,N0,1,1,1
Vac_60,60,SOC,Year0,2024,2024,2024
Vac_60,60,SOC,Year_Life,24.893285160928944,24.89316966851507,24.89338028558645
Vac_60,60,SOC,Year_Immunised,0,0,0
Vac_60,60,SOC,Risk_HZ,0.19844349178796386,0.1944613055326432,0.20216586152018906
Vac_60,60,SOC,Risk_Hosp,0.006508735764329972,0.00572957462865598,0.00742612995868259
Vac_60,60,SOC,Risk_PHN,0.013876026815873462,0.01301497262113786,0.01480796451594157
Vac_60,60,SOC,Risk_Death,1.0962924688763456e-6,9.540663156631563e-7,1.2619137134075078e-6
Vac_60,60,SOC,Q_Life,19.36535011889359,19.365271042867544,19.365416235688066
Vac_60,60,SOC,Q_HZ,-0.022259288061185503,-0.02483100847851027,-0.019358289627780592
Vac_60,60,SOC,Q_All,19.343083724154397,19.340518078285093,19.346028886034308
Vac_60,60,SOC,Q_HZ_d,-0.013441807140796734,-0.014969851169420853,-0.011640797034375094
Vac_60,60,SOC,Q_Life_d,12.750841298079289,12.750813753364929,12.75086647012932
Vac_60,60,SOC,Q_All_d,12.737396527924247,12.735879318145603,12.739185341347692
Vac_60,60,SOC,C_Hosp,21.075371155853965,18.522642183316805,24.044436801107928
Vac_60,60,SOC,C_GP_NonPHN,16.93931165806224,16.537563564557214,17.356149752467925
Vac_60,60,SOC,C_GP_PHN,5.688216551331456,5.209719901441707,6.211857947710626
Vac_60,60,SOC,C_GP,22.636123997293296,22.00630856640808,23.35740483847068
Vac_60,60,SOC,C_Med,43.700102084636235,41.109924585471795,46.76045476496092
Vac_60,60,SOC,C_VacZVL,0,0,0
Vac_60,60,SOC,C_VacRZV,0,0,0
Vac_60,60,SOC,C_Vac,0,0,0
Vac_60,60,SOC,C_All,0,0,0
Vac_60,60,SOC,C_Hosp_d,9.821397152602238,8.619702238005765,11.20437012892841
